"company_id","genre","company","name_eng"
379,"company","กรุงเทพไดอ์แคสซ์ติ้ง แอนด์อินแจ๊กชั่น จำกัด",NULL
380,"company","กรุ๊ป 5 ฟะซิลลิที แมเนจเม้นท์ จำกัด",NULL
381,"company","กลาสเฮ้าส์ รัชดา จำกัด",NULL
382,"company","กสม จำกัด",NULL
383,"company","กองเงิน ซิตี้โฮม จำกัด",NULL
384,"company","กันยารัตน์ พร็อพเพอร์ตี้ จำกัด",NULL
385,"company","กัมปนาท ดีเวลล๊อปเมนท์ จำกัด",NULL
386,"company","กัมปนาท ดีเวลล็อปเม้นท์ จำกัด",NULL
387,"company","การท่าเรือ เอฟ.ซี. จำกัด",NULL
388,"company","กิตติอร เรสซิเด้นซ์",NULL
389,"company","กิตติอร อพาร์ทเม้นท์",NULL
390,"company","กู๊ด แอสเซท แมเเนจเม้นท์ จำกัด",NULL
391,"company","กู๊ดโกเวอร์แนนซ์ พรอพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
392,"company","กูรู เรียลตี้ จำกัด",NULL
393,"company","คงศักดิ์ มิคาระเศรษฐ์",NULL
394,"company","คณะบุคคล เดอะ โฮม อพาร์ทเม้นท์",NULL
395,"company","คณะบุคคล จินตนา อพาร์ทเม้นท์",NULL
396,"company","คณาพญา พร็อพเพอร์ตี้ จำกัด",NULL
397,"company","คลาส 82 จำกัด",NULL
398,"company","คลิ๊ก ทู แอคเคาท์ จำกัด",NULL
399,"company","ควอด จำกัด",NULL
400,"company","ควอลิตี้ คอมมูนิตี้ แมเนจเม้นท์ จำกัด",NULL
401,"company","ควอลิตี้ ลิฟวิ่ง แมเนจเม้นท์ จำกัด",NULL
402,"company","คอนเซ็ปต์ 101 จำกัด",NULL
403,"company","คอนโด บีนู เรสสิเดนซ์",NULL
404,"company","คอนโด พระราม 2",NULL
405,"company","คาซ่า โรยัล จำกัด",NULL
406,"company","คาซาวดี จำกัด",NULL
407,"company","ค่าบริหารส่วนกลางโครงการหัวหินเอมเมอรัลด์ รีสอร์ท (Hua Hin Emerald Resort)",NULL
408,"company","คาร์โก้ คัสตอมส์ เซอร์วิส จำกัด",NULL
409,"company","คิลิน พร็อพเพอร์ตี้ จำกัด",NULL
410,"company","คิวซี เอสเตท จำกัด",NULL
411,"company","คีรีคาม จำกัด",NULL
