ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
340,2026,NULL,6288,NULL,854,NULL,NULL,183,156,20881
341,2026,NULL,5495,NULL,919,NULL,3196,5183,257,20264
342,2026,NULL,2244,NULL,866,NULL,5489,NULL,156,20881
343,2026,NULL,1214,NULL,801,NULL,5128,NULL,258,15170
344,2026,NULL,1169,846,1005,NULL,NULL,1505,253,22247
345,2026,NULL,2307,813,806,NULL,527,NULL,259,20881
346,2026,NULL,5413,NULL,1466,NULL,860,NULL,32,15170
347,2026,NULL,6246,NULL,847,NULL,NULL,5527,260,20881
348,2026,NULL,1055,774,929,NULL,NULL,5429,30,861
349,2026,NULL,5649,NULL,1332,NULL,4079,NULL,261,20881
350,2026,NULL,2244,NULL,866,NULL,5489,NULL,262,20881
351,2026,NULL,5709,276,839,NULL,5254,NULL,263,20881
352,2026,NULL,1396,811,1383,NULL,5498,NULL,32,16456
353,2026,NULL,2878,NULL,828,NULL,NULL,3467,264,20881
354,2026,NULL,1055,774,929,NULL,NULL,5429,142,14981
355,2026,NULL,5856,NULL,801,NULL,4165,NULL,265,20301
356,2026,NULL,7525,NULL,939,NULL,NULL,266,144,20881
357,2026,NULL,6508,NULL,1139,NULL,5117,NULL,266,20881
358,2026,NULL,7110,NULL,1793,NULL,NULL,7047,178,14929
359,2026,NULL,7418,580,1675,654,NULL,NULL,267,12834
360,2026,NULL,3260,NULL,1675,NULL,1770,NULL,268,5206
361,2026,NULL,3348,NULL,788,NULL,915,NULL,71,8359
362,2026,NULL,235,NULL,1422,NULL,5055,NULL,269,20330
363,2026,NULL,5691,NULL,784,NULL,NULL,1185,270,800
364,2026,NULL,6288,NULL,854,292,NULL,NULL,156,20881
365,2026,NULL,2749,852,820,1257,4821,5096,271,NULL
366,2026,NULL,5400,843,847,NULL,1102,NULL,272,14200
367,2026,NULL,7185,327,796,NULL,2680,NULL,273,20291
368,2026,NULL,4550,NULL,1140,NULL,NULL,4769,NULL,1791
369,2026,NULL,6844,NULL,847,NULL,1747,NULL,156,20881
370,2026,NULL,1469,NULL,828,NULL,NULL,7201,275,4273
371,2026,NULL,1169,846,1005,NULL,NULL,1505,276,6921
372,2026,NULL,6417,NULL,866,NULL,4991,NULL,241,NULL
373,2026,NULL,6104,308,611,NULL,NULL,1732,277,12308
374,2026,NULL,1491,NULL,866,NULL,857,NULL,144,8647
375,2026,NULL,5976,NULL,788,NULL,3561,NULL,278,8359
376,2026,NULL,6054,803,672,NULL,NULL,5589,279,19257
377,2026,NULL,235,NULL,1422,NULL,5055,NULL,280,15170
378,2026,NULL,2707,701,1485,NULL,2023,NULL,281,20881
379,2026,NULL,263,746,693,NULL,2122,NULL,282,12311
380,2026,NULL,2813,388,672,1946,NULL,NULL,283,21608
381,2026,NULL,6100,278,788,NULL,1103,NULL,284,13632
382,2026,NULL,6117,NULL,1345,NULL,4775,NULL,285,20330
383,2026,NULL,2285,NULL,932,NULL,NULL,2516,286,6081
384,2026,NULL,7288,774,801,NULL,4095,NULL,35,15170
